transaction_id,account_id,counterparty_name,counterparty_country,amount,currency,timestamp,kyc_status,transaction_type
TXN-1001,ACC-8801,Acme Corp,USA,4500.00,USD,2026-09-18T10:15:00Z,VERIFIED,WIRE_OUT
TXN-1002,ACC-8802,Global Logistics LLC,GBR,14800.00,USD,2026-09-18T11:30:00Z,VERIFIED,WIRE_OUT
TXN-1003,ACC-8803,Caspian Trading,IRN,6200.00,USD,2026-09-18T14:05:00Z,VERIFIED,WIRE_OUT
TXN-1004,ACC-8804,Johnathan Doe,USA,3200.00,USD,2026-09-19T09:12:00Z,UNVERIFIED,ACH_OUT
TXN-1005,ACC-8805,Nordic Supplies AS,NOR,850.00,EUR,2026-09-19T13:40:00Z,VERIFIED,CARD_PURCHASE
TXN-1006,ACC-8806,Apex Horizon Ltd,CYP,9850.00,USD,2026-09-19T15:20:00Z,VERIFIED,WIRE_OUT
TXN-1007,ACC-8806,Apex Horizon Ltd,CYP,9900.00,USD,2026-09-19T15:35:00Z,VERIFIED,WIRE_OUT
TXN-1008,ACC-8807,Starlight Enterprises,PRK,12000.00,USD,2026-09-20T03:15:00Z,UNVERIFIED,WIRE_OUT
TXN-1009,ACC-8808,Metro Retail Group,DEU,2100.00,EUR,2026-09-20T10:00:00Z,VERIFIED,SEPA_OUT
TXN-1010,ACC-8809,Pacific Oceanics Ltd,SGP,54000.00,USD,2026-09-20T16:45:00Z,VERIFIED,WIRE_OUT
TXN-1011,ACC-8810,Helios Consulting,CAN,1250.00,USD,2026-09-21T08:30:00Z,VERIFIED,ACH_OUT
TXN-1012,ACC-8811,Vanguard Mining,USA,9750.00,USD,2026-09-21T09:00:00Z,UNVERIFIED,WIRE_OUT
TXN-1013,ACC-8812,Sunrise Health Systems,USA,450.00,USD,2026-09-21T11:20:00Z,VERIFIED,ACH_OUT
TXN-1014,ACC-8813,Alpha Redux Holdings,SYR,8300.00,USD,2026-09-21T12:10:00Z,PENDING,WIRE_OUT
TXN-1015,ACC-8814,Blue Peak Advisory,USA,780.00,USD,2026-09-21T14:25:00Z,VERIFIED,ACH_OUT
